nb_projet_siret,annee_creation,kw_renovation,kw_energetique,kw_batiment,kw_ecole,kw_eclairage,kw_incendie,kw_mobilite,kw_isolation,kw_chauffage,kw_photovolta,kw_recyclage,kw_benef_commune,kw_benef_ville,kw_benef_departement,kw_benef_region,kw_benef_metropole,kw_benef_communaute,kw_benef_syndicat,kw_benef_association,kw_benef_territoires,kw_benef_public,categorie_entreprise_ETI,categorie_entreprise_GE,categorie_entreprise_PME,economie_sociale_solidaire_unite_legale_N,economie_sociale_solidaire_unite_legale_Non_renseigne,economie_sociale_solidaire_unite_legale_O,demarche,nom_region,nom_departement,code_departement,forme_juridique_beneficiaire,code_commune,nom_commune,siret,activite_principale,code_postal,tranche_effectifs_unite_legale,annee_creation_bin,montant_engage_log
2,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.620143400852314,9.910199419058554,9.910199419058554,10.867898869298177,10.797581114886665,10.797581114886665,10.797581114886665,10.894518710219307,10.69814934392404,10.752045520711334,10.846105734621867,9.938420239076152
2,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1.0,0.0,0.0,12.503609973389988,11.42887912134395,11.542899263932433,11.542899263932433,12.497107615913105,11.664457795374677,11.664457795374677,11.195284660153732,11.488218040967483,11.229251971514227,10.332078087480614,11.208873210857517,12.206077645517674
4,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10.574690161530762,11.289721514798648,11.114522721885708,11.114522721885708,10.628254886499958,10.888439640535083,10.888439640535083,10.79765562103501,10.894518710219307,10.92820783763662,10.752045520711334,10.846105734621867,9.55803652696204
1,1999,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.975968081027128,11.416284488585541,11.416284488585541,10.867898869298177,11.102481342492991,11.102481342492991,11.102481342492991,10.894518710219307,11.066166953604235,10.410010136077346,11.462832162125798,12.216121981383175
2,1983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,11.556163434330063,10.815375828204525,11.083572731817277,11.083572731817277,10.867898869298177,11.238439468307654,11.238439468307654,11.271281795835035,10.894518710219307,11.273008518090675,11.905517505015311,10.898415635135263,13.283209308219915
27,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,9.62757103997272,11.04404863079418,10.553707547090898,10.553707547090898,10.236398269268328,9.944810687600784,9.944810687600784,9.944810687600784,10.894518710219307,10.225386061021275,10.752045520711334,10.846105734621867,8.66806364001988
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.286866842098139,11.289721514798648,11.163023389948714,11.163023389948714,10.867898869298177,11.153912736468426,11.153912736468426,11.153912736468426,10.894518710219307,11.153912736468426,11.041263967128458,10.898415635135263,12.611418246497644
1,1983,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,11.110708772783159,10.529336661946624,10.529336661946624,10.867898869298177,11.17447621865755,11.17447621865755,11.17447621865755,10.894518710219307,11.17447621865755,10.752045520711334,10.898415635135263,12.769466999968946
4,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.62757103997272,10.51254121932266,10.362272579769193,10.362272579769193,10.054441402351973,10.723605218973427,10.723605218973427,10.868713765864142,10.894518710219307,10.780830279561632,10.410010136077346,10.898415635135263,10.275774984838279
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.286866842098139,11.069002998076362,11.39493164550483,11.39493164550483,10.867898869298177,10.951102917745386,10.951102917745386,10.951102917745386,10.894518710219307,10.951102917745386,11.041263967128458,10.898415635135263,11.052643387934575
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,11.04404863079418,10.553707547090898,10.553707547090898,10.867898869298177,11.021282786125383,11.021282786125383,11.021282786125383,10.894518710219307,11.021282786125383,10.332078087480614,10.898415635135263,11.592038448276282
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.469612630640494,10.86455862493074,10.86455862493074,10.628254886499958,11.092247688753744,11.092247688753744,11.092247688753744,10.894518710219307,11.092247688753744,11.041263967128458,10.846105734621867,12.137467198984487
